t,gross,net,net_voltgt,lev,nav_voltgt,bench
2017-04-28,0.02899253927867179,0.026597508222771172,0.026597508222771172,1.0,1.0265975082227712,0.021049331673495257
2017-05-31,-0.0058642276900284195,-0.007139644224565759,-0.007139644224565759,1.0,1.019267967252235,0.0036184724221901996
2017-06-30,0.012239968653903756,0.01149239666404779,0.01149239666404779,1.0,1.0309817990388555,0.019444726641978535
2017-07-31,0.016321902028692242,0.01556723199323938,0.01556723199323938,1.0,1.0470313318853006,0.005067507349163102
2017-08-31,-0.0006599105005455838,-0.00175621041668472,-0.00175621041668472,1.0,1.0451925245536484,0.022004348686637656
2017-09-29,0.033551261846830244,0.032831741087314695,0.032831741087314695,1.0,1.0795080149061906,0.029318438195491677
2017-10-31,0.003925973581706058,0.003127260135267866,0.005802271293750768,1.8553849193149303,1.0857716132724546,0.031735605204485505
2017-11-30,-0.007099430519241187,-0.008274194817553855,-0.016272283027156997,1.9666303955806133,1.0681036302784324,0.01018536727709846
2017-12-29,0.048719772527090775,0.048037629794563136,0.09070826625108827,1.888275225880411,1.1649894587574823,0.05671324488623276
2018-01-31,0.020143067860405317,0.019491445825717338,0.029120490723563295,1.494013886088493,1.1989145234842786,-0.03432482374599155
2018-02-28,0.009405528405451263,0.008305094433855223,0.013087322553656104,1.5758186325138475,1.2146051045673802,-0.016354027447415875
2018-03-29,-0.00011686223420453654,-0.0009103142566229201,-0.0015047649784472859,1.6530170405434015,1.2127774093433838,0.008491967588651837
2018-04-30,0.03990824143429134,0.03918516855241328,0.06591488344623982,1.6821385713340347,1.2927174909264856,0.03548816188536545
2018-05-31,-0.02325050592523098,-0.02431701651834057,-0.038043094098285477,1.5644638835357256,1.2435385177766698,0.007289725251315598
2018-06-29,-0.010248344527849184,-0.010944491311337946,-0.015253832422048006,1.393745217399533,1.2245697896161425,0.029409146064098113
2018-07-31,0.04090367836533357,0.040190037140155524,0.05336788803222695,1.3278884974929495,1.2899224930360247,0.04426682400538261
2018-08-31,0.012867872270924629,0.011853760026785847,0.014618622308009895,1.2332477015711731,1.3087793827683247,0.0050716455010331035
2018-09-28,-0.01654523381135313,-0.017245843226621,-0.02164301148985905,1.2549697457791162,1.2804534555493792,-0.08008754736134618
2018-10-31,-0.037491017179016733,-0.038273924418653925,-0.0467109181998849,1.220437122907599,1.2206422989284522,0.019010708785329466
2018-11-30,0.01223768158328005,0.011295022309798133,0.011931142684901917,1.0563186470691577,1.2352059563641942,-0.09206336446816145
2018-12-31,-0.038422083801817844,-0.039120459203617834,-0.04181425038398503,1.0688588844611024,1.1835567452289921,0.08572198164217773
2019-01-31,0.013687793415207379,0.013004610900753265,0.014033031965547824,1.0790812637643,1.2001656348678302,0.03848789169796502
2019-02-28,0.015927239523992866,0.014857241575015731,0.01625551041208803,1.094113623313742,1.2196749398416544,0.022106640626042885
2019-03-29,-0.023445757536908914,-0.024202513457954676,-0.026214946601047024,1.0831497582508696,1.1877012264230702,0.036512100434185485
2019-04-30,0.03948960521784173,0.03874329251028316,0.04059041321605868,1.0476758836458016,1.235910509980802,-0.0630673691709456
2019-05-31,-0.03147695846506447,-0.03261325562871287,-0.03424241131799702,1.0499537889694714,1.1935899539458041,0.07408611502666608
2019-06-28,0.03798037942711174,0.03723775708501835,0.03811768909349604,1.023630102276802,1.2390868447154304,0.013011125113318171
2019-07-31,0.06573148163305688,0.06496089244433713,0.061940709916954335,0.9535076811025851,1.3158367635258632,-0.01865908512235575
2019-08-30,-0.06854227561792897,-0.06954187775254603,-0.05938369085030111,0.8539270547397174,1.2376975199511826,0.00937289598821009
2019-09-30,-0.0015599215230073724,-0.0022749762554393625,-0.001657730675052453,0.7286804295600431,1.235645750805923,0.021924255363494558
2019-10-31,0.0071005065541609735,0.006246647328740285,0.004579597798911064,0.7331289182664004,1.2413045113665477,0.03842313412559866
2019-11-29,-0.025810539796685187,-0.026772117277681928,-0.020485369628780524,0.7651755524714426,1.215875929629331,0.03037505455563778
2019-12-31,0.05011511611771939,0.0493569799698472,0.03707878789920224,0.7512369663187282,1.2609591353358025,0.004047889776987672
2020-01-31,0.023877570328760686,0.023200622632218264,0.017146203419355327,0.7390406581392657,1.2825797971737645,-0.07662516252093353
2020-02-28,0.11738756013471208,0.11631924054782462,0.0853484254381975,0.7337429735290141,1.392045963361388,-0.11869526897457584
2020-03-31,-0.06625043133045375,-0.06705491072552139,-0.03827227564116846,0.5707602206470743,1.338769196546445,0.14234453134246977
2020-04-30,0.033108735981671356,0.03216237368320514,0.01690334557170077,0.5255627503801911,1.3613988749164176,0.06115615992090251
2020-05-29,0.01110391786807301,0.010062621940748423,0.00531414823934875,0.528107710956445,1.3686335503506062,0.029459384139453697
2020-06-30,0.053409393297236554,0.05268404848920716,0.028732191697276952,0.5453679533220197,1.4079573918826045,0.06307940003009851
2020-07-31,-0.039292667222108044,-0.04014659878519896,-0.0215745508302168,0.5373942371967708,1.3775813435646538,0.0812372495803388
2020-08-31,0.04123783306584974,0.04019735162187875,0.021674255766746402,0.5391961134810052,1.4074393939445722,-0.03661160602181798
2020-09-30,-0.051216751339309016,-0.05188676773437776,-0.030949056949597757,0.5964730180926716,1.3638804719882742,-0.02881044266954657
2020-10-30,-0.11383535319144225,-0.11465420574245888,-0.06353558839694819,0.5541496536085603,1.2772255236973917,0.11839725176694892
2020-11-30,-0.018513328106227897,-0.01948436140305985,-0.008828537302931053,0.453108886675886,1.2659494905171735,0.04395372904054944
2020-12-31,0.04423354304627055,0.043624170508568434,0.019848922448303146,0.4549982777186451,1.2910772237779178,-0.005741185924698029
2021-01-29,-0.10450528464118766,-0.10520383727359453,-0.0481436567650937,0.4576226306260165,1.2289200450591236,0.017866790506703464
2021-02-26,-0.013090693485782802,-0.014068550042622962,-0.005825428258928061,0.41407453087055723,1.221761059500673,0.029675357101651197
2021-03-31,0.004160614901921936,0.0033584606368370937,0.0016838086415751838,0.5013632207286933,1.2238182713306,0.05060930154546021
2021-04-30,0.02132967359886287,0.020600279663255727,0.010647592177035764,0.5168663897329338,1.2368489891825332,-0.0020584986898535633
2021-05-28,0.02474121879592877,0.023719200135887228,0.012430366096734603,0.524063460214555,1.2522234749244483,0.03656933132633897
2021-06-30,0.018125630448975423,0.01742582824335363,0.009018929727411196,0.517561036494842,1.2635171904478066,0.019414662939263305
2021-07-30,0.02128151261824211,0.02044670466754058,0.011173202778169288,0.546454940287121,1.2776347242303827,0.02537727088507787
2021-08-31,-0.0005523074644177908,-0.0015736554728571026,-0.0008532183688207114,0.5421887976989158,1.2765446228150261,-0.04677485046771143
2021-09-30,0.027286599940556766,0.026647865375736032,0.015118819002184128,0.5673557258342512,1.2958444699155778,0.07064159248473902
2021-10-29,0.037002263794225644,0.036273308744352875,0.020641649864420204,0.5690589190497751,1.3225928377423204,-0.006550020713447469
2021-11-30,-0.0008330325794916535,-0.0017731975109300437,-0.001299276723724291,0.732730965228357,1.3208744236532772,0.03566624677835904
2021-12-31,-0.004715909516559133,-0.005401012598184013,-0.004023476878330179,0.7449486193909262,1.3155599159505307,-0.06706158663859982
2022-01-31,0.010060978853491939,0.00934894693143226,0.0073055963321284265,0.7814352125121335,1.325170865647194,-0.03016467045624343
2022-02-28,0.022443680208579342,0.021447258233122643,0.04068677446469709,1.89706180726921,1.3790877937849688,0.0390663816063406
2022-03-31,0.060745169351201,0.05997384704503246,0.13156126955340858,2.193643997101326,1.5605223347609285,-0.08715115055467793
2022-04-29,-0.005079668678933783,-0.005890362909549419,-0.009380584697082892,1.5925308577974284,1.545883722828014,-0.013238907991562162
2022-05-31,-0.020845224427937695,-0.021830367028169616,-0.03237033937521171,1.4828124205809938,1.4958429420854555,-0.08197743536076929
2022-06-30,-0.019736782503919095,-0.020504092441318233,-0.026632532074957582,1.2988886072952832,1.4560048569512656,0.10261494823550009
2022-07-29,0.01826640572679069,0.017488860037445698,0.020912951129371884,1.1957869800887426,1.4864542153688156,-0.0385027820453792
2022-08-31,0.015167635647818783,0.014208147988896469,0.017063510503165964,1.2009665521854738,1.5118183424852367,-0.09008951590018134
2022-09-30,0.054217053966650344,0.05353314976948269,0.06491637117617079,1.212638737972733,1.6099601031569517,0.07824712485139448
2022-10-31,0.004201629917924193,0.00347795374261629,0.0037832967255836568,1.087793859712945,1.6160510599435458,0.04872012919248278
2022-11-30,0.004230224342811589,0.0032424576551790783,0.0036558238756746846,1.1274854645627674,1.621959057992797,-0.05977795717563556
2022-12-30,-0.09320229028582547,-0.09387813401758342,-0.10657627253330948,1.1352619398394486,1.4490967073902867,0.06909855298650686
2023-01-31,0.02487273959753295,0.024141838091226796,0.017651159659664094,0.7311439830291369,1.474674944734726,-0.017962110415185355
2023-02-28,0.030782618320733007,0.02981046811736341,0.021559999960715035,0.7232358739162903,1.5064689364852741,0.04136896704652305
2023-03-31,0.010166321689761308,0.009347318953017783,0.00669462441469482,0.7162079788165846,1.5165541802074478,0.008365190156720615
2023-04-28,0.012980666415088231,0.012183848633710252,0.009626038008295824,0.790065462703018,1.5311525883877646,0.007456451422824998
2023-05-31,-0.0026650512631902212,-0.0036594891072022247,-0.0028866279915553267,0.7888062806018924,1.526732720466782,0.07367755863648305
2023-06-30,-0.027130718282912053,-0.02784804350227394,-0.02241647134537099,0.8049567770727076,1.4925087601863982,0.03248507081171128
2023-07-31,0.02442028784227717,0.02371912122314382,0.018821388173331583,0.7935111927741532,1.5205998469139643,-0.01808579904875076
2023-08-31,0.0003427456747458757,-0.0005684082572934375,-0.00044782242054620117,0.7878534746813424,1.5199188882098371,-0.04783222189579557
2023-09-29,0.006303490088307481,0.005639619732757897,0.0044584426556293815,0.79055731891503,1.5266953594141286,-0.02470218915643256
2023-10-31,0.02242795809161721,0.021721171566338588,0.01905654232264111,0.877325712586016,1.5557888941445839,0.09333376759172811
2023-11-30,-0.05398105033024142,-0.05493627154905939,-0.047262270579116465,0.8603108519461525,1.482258778465538,0.04957109807415696
2023-12-29,0.04971816890878516,0.04903641304583517,0.038145932921432084,0.7779103436007122,1.5388009224010881,0.01071869700383605
2024-01-31,0.051748476294251694,0.05110066172874073,0.05360125535071259,1.0489346622406934,1.621282583576621,0.06183870783452745
2024-02-29,-0.02708262321548896,-0.028086466196642484,-0.027024600610624613,0.9621929801142156,1.577468069278501,0.02476755327934023
2024-03-28,-0.014032716110910143,-0.01477901683888635,-0.013719611206087634,0.9283169073864763,1.5558258206779823,-0.049518047847894965
2024-04-30,-0.00082995561183348,-0.0015683324557628445,-0.0014348618741203236,0.9148964996853297,1.5535934255251194,0.046713095122285005
2024-05-31,0.02439173399186118,0.023387972548744803,0.02148101218848564,0.9184640585546819,1.5869661848347756,0.03538182889986426
2024-06-28,-0.030389633080443616,-0.031093720075716043,-0.02806745792222613,0.902672882301613,1.54242407821793,0.012627499764788955
2024-07-31,0.04540179462662654,0.044649765903909636,0.039923123347676816,0.8941395893003116,1.6040024649470512,0.024509241002207083
2024-08-30,0.02264475682594258,0.021690832934614362,0.0184221321891357,0.8493049688164603,1.6335516103880054,0.022189364310039563
2024-09-30,0.024665610585320484,0.02397759320563096,0.020214071023123212,0.843040035326652,1.6665723386603257,-0.011544366906673629
2024-10-31,-0.004477105661600311,-0.005328356151952637,-0.004449118952996535,0.8349890334125102,1.6591575600818524,0.06841540009531319
2024-11-29,-0.0010112397360341613,-0.0019548955997829845,-0.001634217413738757,0.8359614773904928,1.6564461359050304,-0.03469670441157847
2024-12-31,0.028866849835255292,0.02821750721203011,0.028197264914030098,0.9992826333719733,1.703153386414966,0.028845331308226637
2025-01-31,-0.02185866524510134,-0.02251236560000114,-0.0241130774036357,1.0711036695154987,1.6620851169780777,-0.01608999548872201
2025-02-28,-0.029316899927079955,-0.030348415253796553,-0.03527192046755355,1.1622326955982016,1.6034601829217225,-0.06087357471583163
2025-03-31,0.050955855577446904,0.05023148977256126,0.05776450598261528,1.1499660122397743,1.6960832682509899,-0.0080461207744081
2025-04-30,0.04567586908088613,0.04492600488866925,0.046620969224117084,1.037727911476841,1.775156314101659,0.06350581121961774
2025-05-30,-0.02464047676530698,-0.025601217860482344,-0.025045281940293193,0.9782847861684234,1.7306970237268913,0.048817996599254
2025-06-30,-0.018253525833892413,-0.019042701414100527,-0.017644219431957268,0.9265607356996247,1.7001602256700186,0.019998335920939202
2025-07-31,-0.008773485120386622,-0.009531547722439231,-0.00918728171852309,0.9638814163301447,1.6845403747101602,0.018080942491762585
2025-08-29,0.025639438135232916,0.02472136029576036,0.025371966744973856,1.0263175829092654,1.7272804770778722,0.031336938956351236
2025-09-30,0.0027064954462183606,0.002093241385836775,0.0021346082314373316,1.019762100004544,1.7309675442022436,0.018354628339328494
2025-10-31,-0.003505400365162139,-0.004250536082619596,-0.004436308418120291,1.043705624864665,1.7232884383144063,-0.008538581646464951
2025-11-28,-0.024207758952138905,-0.02515876504667588,-0.02628469664282742,1.0447530550113509,1.6779923244852204,0.002255555464050236
2025-12-31,-0.03017408767956472,-0.030847548083585745,-0.03091734957362374,1.0022627889208198,1.6261132492072534,0.013785288126973409
2026-01-30,-0.001600720643638042,-0.002256771711678424,-0.002261888347984412,1.0022672369914558,1.6224351625963684,-0.001297601975240415
2026-02-27,-0.015498071821266363,-0.016580989203628247,-0.016978618983798224,1.0239810650189054,1.594888454144728,-0.0493981629157354
2026-03-31,0.04485310443985463,0.044037397461367395,0.046737942526279656,1.0613239024236472,1.6694302590503713,0.0917584745443489
2026-04-30,0.011954533993142103,0.011224211707355316,0.0123765400472305,1.102664522900976,1.6900920295075665,0.061914585772096874
2026-05-29,-0.010694415892486292,-0.011718392905918015,-0.015192151446190483,1.2964364284558296,1.6644158954372883,-0.023698310390793727
