,baseline,ridge,gbm
2017-04-28,0.03078117854136141,,
2017-05-31,-0.025290135656942173,,
2017-06-30,0.010208079249440265,,
2017-07-31,0.006474546463405812,,
2017-08-31,-0.014566647617970089,,
2017-09-29,0.031274222490212555,,
2017-10-31,-0.017629415064970132,,
2017-11-30,-0.0144025515744984,,
2017-12-29,0.01811886283744927,,
2018-01-31,-0.012762865918006547,,
2018-02-28,0.019998875382059356,,
2018-03-29,0.008435221732486719,,
2018-04-30,0.01314841636036714,,
2018-05-31,-0.017128778514881576,,
2018-06-29,0.001363617197956904,,
2018-07-31,0.0007013481805932865,,
2018-08-31,0.008609184209825788,,
2018-09-28,0.024006052979986068,,
2018-10-31,-0.02835887918999316,,
2018-11-30,0.01609484556448604,,
2018-12-31,-0.062073034062271326,,
2019-01-31,-0.03154286240818357,,
2019-02-28,0.011059563355321498,,
2019-03-29,-0.03207902902101251,,
2019-04-30,0.03810971673609777,,
2019-05-31,-0.02531999918863157,,
2019-06-28,0.02587459456825166,,
2019-07-31,0.044370676870405634,,
2019-08-30,-0.030819478792122684,,
2019-09-30,-0.012903690004574973,,
2019-10-31,-0.031332722982675636,,
2019-11-29,-0.02614739375021969,,
2019-12-31,0.028899011917780718,,
2020-01-31,-0.004116210909656622,,
2020-02-28,0.06050229078253379,,
2020-03-31,-0.0755166877513612,,
2020-04-30,-0.04403428003129237,0.05642433053051126,0.04569617216533036
2020-05-29,-0.02027363907003834,0.023122983842488787,0.012459921750242202
2020-06-30,0.025381304242590916,0.03834983292896829,0.024730422162353907
2020-07-31,-0.05518182774252143,0.01839554343779505,0.012891998510866027
2020-08-31,0.002687072256822039,0.02790869089341332,0.02979170094707496
2020-09-30,-0.0396672950799329,-0.030174076738092775,-0.03993111812999627
2020-10-30,-0.1146481002166863,0.010098025329115783,0.004625320517131079
2020-11-30,-0.03334477377541488,0.028897004737076997,0.009098436177861564
2020-12-31,0.014041549305692307,0.058186101253357034,0.01186753688561139
2021-01-29,-0.04763073151851956,-0.008532803961202198,-0.028993671579940566
2021-02-26,0.05267062441501962,-0.09370102513574416,-0.08301137923942767
2021-03-31,0.025186853582654278,-0.032633842774090704,-0.03130555685219793
2021-04-30,0.04821074750370127,-0.026101479821930066,-0.02994298748335592
2021-05-28,-0.030432801475553925,0.07210360262030767,0.07382195131887308
2021-06-30,0.05062987698622443,-0.06568021970596076,-0.03253593264291995
2021-07-30,-0.004911878923586092,0.01955003081708021,0.012806961209895723
2021-08-31,0.013246100672356084,-0.024825941902714473,-0.005090823142568412
2021-09-30,0.012089695136688308,0.02992198369296067,0.01886271987828265
2021-10-29,0.051871466758469535,-0.014689325590937611,0.0008952464151481846
2021-11-30,0.050116619248238355,-0.07761464756535262,-0.034339492159068744
2021-12-31,0.0367195569245727,-0.09591234273181926,-0.07054008157076382
2022-01-31,-0.0031690036790815836,0.005566977830852184,-0.006804664165802839
2022-02-28,0.02249252456659617,0.003955890370017705,0.011189758386950206
2022-03-31,0.08263114867224251,-0.003407113372003415,0.007323719112958707
2022-04-29,0.03703014586509922,0.00734561287209183,-0.018734287367045823
2022-05-31,-0.008366682941976993,0.003692489984432337,-0.004868472961366928
2022-06-30,-0.04122873933506965,-0.033382352009207486,-0.013347112112492756
2022-07-29,-0.026177215531731114,0.0030288021002467702,0.008006455234259179
2022-08-31,0.012138872017285862,0.01500480365503655,-0.01429547607166777
2022-09-30,0.03957031758153161,0.027158469233888483,0.013302132309553004
2022-10-31,0.01569179197056389,0.0038182397091085386,0.025941850380788178
2022-11-30,0.018565115266801487,0.02009923361069856,0.0007787151604124907
2022-12-30,-0.09648687122471096,-0.12009745383132406,-0.06207875762961446
2023-01-31,0.025006652540949616,0.02066008696137575,0.009417557022136619
2023-02-28,0.01058606639986046,-0.0012892682073735147,0.014027731748025594
2023-03-31,0.015552689127234086,0.024631068363286986,0.013850595448175212
2023-04-28,-0.03903549391711422,-0.014502434292729325,-0.02570233916976436
2023-05-31,-0.002641743266654531,-0.005280202758935715,-0.014882659564353386
2023-06-30,-0.04345852634063252,-0.02892904716722706,-0.009682835882444226
2023-07-31,0.04384196323323246,0.006283854241847904,-0.014057154905406832
2023-08-31,0.022560885452040717,0.002461413445252153,0.004559502370733294
2023-09-29,0.01903245037000367,0.003848026179889069,0.003921095242254913
2023-10-31,-0.014893688899894317,0.01690409466244652,0.021561307208930593
2023-11-30,-0.07769950202350957,-0.036934949453626964,-0.02869372218277619
2023-12-29,0.06163948766186186,0.026084230197046813,0.007753909395833811
2024-01-31,0.00949347056874023,0.05266966535172901,0.031352838525809765
2024-02-29,-0.006028630440734328,-0.01096292786085333,0.0001800409527272368
2024-03-28,0.005283765801832614,-0.01152835108085771,-0.019422292484540835
2024-04-30,0.005200504301391179,0.005013154236536978,0.007254223197618452
2024-05-31,0.002187270102483447,-0.006750021682243987,7.060738455552841e-05
2024-06-28,-0.007138719908730347,-0.024885774831146918,-0.024475973386065504
2024-07-31,0.03421818894874165,0.03215564112903037,0.0254796948504496
2024-08-30,-0.003741303916863675,0.018885350566790554,0.0036629241670884053
2024-09-30,-0.002005699614562275,0.014239787137405695,0.006625922219777994
2024-10-31,-0.01687442886352942,0.00544048985034192,-0.012571495010399485
2024-11-29,0.00017601619970619974,-0.005061567922915994,-0.011824813948064835
2024-12-31,0.006654763549712653,0.015090330250212208,0.015905341918480795
2025-01-31,0.013447626586991761,-0.006121670304840528,-0.026135351015145847
2025-02-28,0.008252924328191958,-0.016139304766309714,-0.013367512905753089
2025-03-31,-0.0010515570151496106,0.04187853822821016,0.02648994602444023
2025-04-30,-0.004434370736396448,0.02691717371176677,0.031421048178788144
2025-05-30,-0.05719898259443533,-0.0344102240387811,-0.004436721396011225
2025-06-30,-0.0457152008508764,-0.00743416855405038,-0.005398237740564716
2025-07-31,-0.0005802966574711445,-0.006471540002254989,0.0021245399169747513
2025-08-29,-0.018274110639229287,0.04247169006300978,0.016673114536919612
2025-09-30,-0.04599554318542201,0.024269879587120385,0.014273190997261789
2025-10-31,0.03490997055577878,-0.021149190406888663,-0.022870515107593675
2025-11-28,-0.01666803457875482,-0.02489240318105148,-0.01978635960915576
2025-12-31,-0.014249825756106652,0.017823982071062873,0.021314662677296575
2026-01-30,0.01798149341268316,0.019333659870464714,0.02807327340218822
2026-02-27,-0.015032659393727039,0.020995297041658326,-0.0031100265442203694
2026-03-31,-0.019473960056696313,0.12292042867387354,0.09154471704872352
2026-04-30,-0.045141017790478424,0.01469833509728634,0.07535954134536328
2026-05-29,0.033704240907626894,-0.040978723195619696,-0.05407181262561051
