anchor,port,tot,cagr,mdd,sharpe
3M,SPY,0.08188843915635768,0.3622252739799068,-0.06568045937586897,2.078968382666613
3M,Core 50/50,0.11962069110322715,0.5585547554070089,-0.07299029159327997,2.4982055485218546
3M,Core+Trend+LETF,0.10087149853322197,0.45853629463983525,-0.06574294313894802,2.282145473197502
6M,SPY,0.07247083869250748,0.1439633495470518,-0.0888132093752888,1.0910447575086668
6M,Core 50/50,0.09974191789936748,0.20053849345934038,-0.10302139805750488,1.2480630033050983
6M,Core+Trend+LETF,0.09341548256831511,0.1872973007521137,-0.09149885503105049,1.2239727218731185
1Y,SPY,0.23127032513425405,0.22798615456163995,-0.08881320937528914,1.7507163358193485
1Y,Core 50/50,0.27471741611663836,0.27075150489980593,-0.10302139805750521,1.7493561905908406
1Y,Core+Trend+LETF,0.26217935619846466,0.2584121326796427,-0.09149885503105071,1.7011301860914754
FULL,SPY,2.979188836352047,0.15464931539389304,-0.3370010550093524,0.8848107410323423
FULL,Core 50/50,4.105954159376332,0.18501642663340956,-0.30849381248326113,0.9488251222509541
FULL,Core+Trend+LETF,3.6905197620227908,0.17459179024557114,-0.2764217505654182,0.9825694588850261
