run_id,timestamp,source,tickers,start,data_hash,series_hash,checks
B0-free-20260610-192019,2026-06-10T19:20:19,free,AAPL;MSFT;JPM;XOM;KO;PG;JNJ;WMT;GE;T,2018-01-01,e2c5a492f7fff1ba,4c9ba1775140419e,CHK-W:PASS;CHK-S:N/A;CHK-F:N/A;CHK-TR:N/A;CHK-D:INFO
B0-free-20260610-192044,2026-06-10T19:20:44,free,AAPL;MSFT;JPM;XOM;KO;PG;JNJ;WMT;GE;T,2018-01-01,d51f8c6aef773c0e,3f773488f54612de,CHK-W:PASS;CHK-S:N/A;CHK-F:N/A;CHK-TR:N/A;CHK-D:INFO
B0-free-20260610-201732,2026-06-10T20:17:32,free,AAPL;MSFT;JPM;XOM;KO;PG;JNJ;WMT;GE;T,2018-01-01,cfa9ebbd4836980a,95dbc31955ed8722,CHK-W:PASS;CHK-S:N/A;CHK-F:N/A;CHK-TR:N/A;CHK-D:INFO;CHK-R:FROZEN
B0-free-20260610-201733,2026-06-10T20:17:33,free,AAPL;MSFT;JPM;XOM;KO;PG;JNJ;WMT;GE;T,2018-01-01,cfa9ebbd4836980a,95dbc31955ed8722,CHK-W:PASS;CHK-S:N/A;CHK-F:N/A;CHK-TR:N/A;CHK-D:INFO;CHK-R:PASS
B0-sharadar-20260610-223147,2026-06-10T22:31:47,sharadar,AAPL;MSFT;JPM;XOM;KO;PG;JNJ;WMT;GE;T,2018-01-01,2afb5b990bb8c155,e39ca90f8d0e5ddf,CHK-W:PASS;CHK-S:WARN;CHK-F:PASS;CHK-TR:WARN;CHK-D:N/A;CHK-R:FROZEN
B0-free-20260610-224243,2026-06-10T22:42:43,free,AAPL;MSFT;JPM;XOM;KO;PG;JNJ;WMT;GE;T,2018-01-01,8a001d441922c218,72f75fd45edfaf47,CHK-W:PASS;CHK-S:N/A;CHK-F:N/A;CHK-TR:N/A;CHK-D:INFO;CHK-R:FROZEN
B0-sharadar-20260610-224248,2026-06-10T22:42:48,sharadar,AAPL;MSFT;JPM;XOM;KO;PG;JNJ;WMT;GE;T,2018-01-01,7196c2e69e345738,e39ca90f8d0e5ddf,CHK-W:PASS;CHK-S:WARN;CHK-F:PASS;CHK-TR:PASS;CHK-D:N/A;CHK-R:FROZEN
B0-sharadar-20260610-231155,2026-06-10T23:11:55,sharadar,AAPL;MSFT;JPM;XOM;KO;PG;JNJ;WMT;GE;T;NVDA;V;MRO;ENV;CNSL;LUMO;MNTX;AUMN,2016-01-01,454a4d3c5e9d7c99,671431c05bc492e3,CHK-W:PASS;CHK-S:PASS;CHK-F:PASS;CHK-TR:PASS;CHK-D:N/A;CHK-R:FROZEN
B0-sharadar-20260610-231312,2026-06-10T23:13:12,sharadar,AAPL;MSFT;JPM;XOM;KO;PG;JNJ;WMT;GE;T;NVDA;V;MRO;ENV;CNSL;LUMO;MNTX;AUMN,2016-01-01,a41b3972bcb6e20d,671431c05bc492e3,CHK-W:PASS;CHK-S:PASS;CHK-F:PASS;CHK-TR:PASS;CHK-D:INFO;CHK-R:FROZEN
B0-sharadar-20260610-231347,2026-06-10T23:13:47,sharadar,AAPL;MSFT;JPM;XOM;KO;PG;JNJ;WMT;GE;T;NVDA;V;MRO;ENV;CNSL;LUMO;MNTX;AUMN,2016-01-01,a41b3972bcb6e20d,671431c05bc492e3,CHK-W:PASS;CHK-S:PASS;CHK-F:PASS;CHK-TR:PASS;CHK-D:INFO;CHK-R:PASS
